232,14,24,4,47,1,2
1,58,27,3,47,2,1
283,10,36,2,43,2,2
175,38,48,1,17,3,1
262,20,32,5,41,1,1
14,28,16,5,49,2,2
204,43,36,2,41,2,1
68,37,13,4,7,3,2
speed,size,angle,burst,burst_angle,bounces,reproduce,color
1,58,27,3,47,2,1
232,14,24,4,47,1,2
1,58,14,2,9,2,1
106,58,27,3,47,3,1
262,20,32,5,41,1,1
14,28,16,5,49,2,2
97,28,10,5,49,1,1
262,20,45,5,49,3,2
106,58,27,3,47,3,1
1,58,27,3,47,2,1
219,58,27,3,37,2,1
213,29,1,3,47,3,1
262,20,32,5,41,1,1
14,28,16,5,49,2,2
126,28,16,5,48,2,2
262,28,29,4,49,1,2
252,5,5,1,15,2,2
58,7,27,1,19,3,1
36,52,9,5,28,3,2
70,45,6,1,12,3,1
83,55,48,2,39,3,1
241,35,10,3,34,1,1
124,11,33,4,15,2,2
221,59,24,3,28,1,1
speed,size,angle,burst,burst_angle,bounces,reproduce,color
36,52,9,5,28,3,2
252,5,5,1,15,2,2
178,31,39,5,28,3,2
150,5,9,5,28,3,2
124,11,33,4,15,2,2
221,59,24,3,28,1,1
50,59,10,3,28,2,2
221,23,33,4,28,1,2
47,26,36,5,29,3,2
30,12,32,1,15,2,1
219,19,40,3,25,2,2
57,23,31,4,18,2,1
53,22,13,5,36,3,2
128,18,30,4,7,1,2
149,33,24,5,46,1,1
207,23,31,1,41,3,2
speed,size,angle,burst,burst_angle,bounces,reproduce,color
47,26,36,5,29,3,2
30,12,32,1,15,2,1
216,12,36,2,15,1,2
47,26,25,3,29,3,1
149,33,24,5,46,1,1
207,23,31,1,41,3,2
244,49,11,5,34,1,2
207,23,32,5,21,3,1
47,26,36,5,29,3,2
30,12,32,1,15,2,1
47,12,2,3,41,2,2
44,26,36,5,29,3,1
149,33,24,5,46,1,1
207,23,31,1,41,3,2
131,23,28,2,46,1,2
149,4,24,5,46,3,2
47,26,36,5,29,3,2
30,12,32,1,15,2,1
14,12,31,2,15,3,2
136,26,32,5,29,2,2
149,33,24,5,46,1,1
207,23,31,1,41,3,2
149,23,6,4,41,2,1
262,33,31,1,46,3,2
102,12,23,2,47,3,2
174,2,50,4,11,1,1
211,60,43,5,38,3,1
210,11,13,4,20,1,1
22,6,1,1,21,2,1
264,34,23,3,25,1,2
156,18,5,2,44,2,2
213,50,28,4,16,3,2
speed,size,angle,burst,burst_angle,bounces,reproduce,color
102,12,23,2,47,3,2
174,2,50,4,11,1,1
140,52,23,1,47,1,2
174,12,21,2,22,1,2
264,34,23,3,25,1,2
22,6,1,1,21,2,1
102,37,23,1,25,1,2
22,34,1,3,2,1,1
140,52,23,1,47,1,2
102,12,23,2,47,3,2
140,52,2,2,24,3,2
140,12,31,1,12,1,2
264,34,23,3,25,1,2
22,6,1,1,21,2,1
39,34,23,1,25,1,1
22,1,50,1,21,2,2
140,52,23,1,47,1,2
140,52,2,2,24,3,2
134,45,31,1,24,3,2
140,52,23,2,35,2,2
264,34,23,3,25,1,2
22,6,1,1,21,2,1
42,7,1,5,4,1,1
72,6,1,3,7,1,1
188,43,27,4,32,2,1
34,6,6,1,28,3,2
279,24,36,1,21,2,1
187,33,48,5,7,3,2
91,53,47,4,1,3,1
185,60,7,2,12,1,1
151,12,28,3,44,3,1
